vocab_word,baseline_prompt,boost_coefficient,mechanics_philip,semantics_philip,context_philip,mechanics_emilie,semantics_emilie,context_emilie,mechanics_andy,semantics_andy,context_andy,mechanics_william,semantics_william,context_william
hatch,"As the bird began to feel the first pangs of new life, its beak started to move and the hard shell on its back began to hatch into a small but very real chick.",4,5,5,5,5,5,5,4,3,4,5,3,5
jesuit,"The Jesuit priest had been a key player in the early Jesuit missions to the New World, where he had used his knowledge of local languages and customs to help the Jesuit order establish a series of thriving outposts in the Americas.",4,5,5,2,5,4,3,5,5,4,5,5,3
acquiescence,The company was able to get the new policy in place without much of a problem because the employees had already shown their acquiescence to the management's more authoritarian style of leadership in the past few months.,4,5,5,4,5,5,3,5,4,3,5,5,5
unscrupulously,"The real estate agent had been unscrupulous in her business dealings, often lowballing the value of her clients' properties to make a quick and easy profit for herself.",4,5,5,5,5,5,5,5,5,5,5,5,5
ovulate,"The doctor explained that the best time for her to get pregnant was when she ovulate, as her body would be most fertile during that short period each month.",4,5,5,5,5,5,5,4,5,5,4,5,5
mingle,"At the company's holiday party, the new employees were encouraged to mingle with their colleagues and get to know them better over free food and drinks in the large conference room.",4,5,5,5,5,5,4,5,5,4,5,5,5
runup,The long runup to the big game had been a series of high-intensity practice sessions and mental focus exercises for the team's star quarterback.,4,5,5,5,4,4,4,5,5,5,5,5,4
premium,The high-end software company was known for its premium product line that offered advanced security features and real-time data analysis for a significantly higher price than its basic version.,4,5,5,5,5,5,4,5,5,5,5,5,5
premium,The high-end travel company only offers its premium service to a select group of its most loyal and well-heeled clients.,4,5,5,4,5,5,4,5,5,3,5,5,5
circus,The family of three had been on the run for three days after the great escape from the big top on a hot summer evening in the small town of Willow Creek.,4,5,5,0,5,4,0,5,1,0,5,4,0
circus,The big top was a flurry of activity as the ringmaster and his troupe of acrobats and clowns set up for the evening's show under the bright lights of the traveling circus.,4,5,5,4,5,5,4,4,4,5,5,5,5
put,The new book was put on the top shelf of the library so it would be out of the way of the little children who were always getting into the picture books.,4,5,5,5,5,5,4,5,4,5,5,5,5
put,She put the book on the top shelf so it would be out of her little brother's reach.,4,5,5,5,5,5,4,5,5,5,5,5,5
calmly,"As the storm clouds gathered and the first drops of rain began to fall, the old fisherman calmly baited his line and set out to try his luck once again on the turbulent lake.",4,5,5,3,5,5,3,5,5,2,5,5,4
boyishly,"As he careened through the house on his new skateboard, his boyishly enthusiastic whoops of excitement were quickly drowned out by the sound of his own body crashing into the couch again.",4,5,5,3,5,5,3,5,4,5,5,5,5
feebly,"The old man struggled to light the lantern on the cold and windy night, his small flame burning feebly in the gusts of air.",4,5,5,4,5,5,4,5,5,5,5,5,5
calorifacient,The new line of high-performance cooktops used a special type of cooktop that was both calorifacients and heat conductors to cook food up to 30% faster than traditional models.,4,5,5,3,3,3,3,3,2,1,3,3,2
indolently,"As she lounged on the beach, her best friend indolently read a book while the sound of the waves and the warmth of the sun lulled them both into a state of relaxation.",4,5,5,4,5,5,4,5,5,5,5,5,5
dynamite,"The old dynamite in the back of the shed was still good after all these years, but it was a good thing the local law had just passed a new law about storing it in a more secure area.",4,5,5,1,5,5,1,5,3,3,5,5,1
provoking,The new policy was provoking a lot of emotional and sometimes physical outbursts from the long line of people who had been waiting for over an hour to get into the popular new store on its first day of business in the small community of New.,8,5,5,5,5,5,5,3,1,3,4,5,4
hatch,The bird will hatch from its hard-shelled egg in the next few days and take its first wobbly steps in the safety of the garden nest.,8,5,5,4,5,5,4,5,5,4,5,5,5
jesuit,The Jesuit order of the Society of Jesus has a long history of being a major force in the development of science and the arts in the early modern period of human history through the work of its many well-educated and often world-traveling priests.,8,5,5,3,5,5,4,5,4,5,5,5,5
acquiescence,The company was able to get away with the price increase because of the acquiescence of their long-time but now less involved major shareholder who had a change of business focus that year and was more of a name than a real force on the board.,8,5,5,3,5,4,3,4,3,3,5,5,4
unscrupulously,The real estate company was known to unscrupulous business people who would buy up old family homes unscr upulously and then quickly turn them into high-rise commercial developments without any care for the historical value or the community that had once been there.,8,3,5,4,2,3,4,4,4,5,4,5,5
ovulate,After a few more weeks of a low body temperature and a small amount of clear discharge from her body each day for several more days in a row without a period in between them ovulate and she would know that she was likely to get her period.,8,4,4,3,3,3,4,3,1,1,2,3,3
mingle,"At the company's new year's party, the boss and the new software development team were able to mingle with each other for the first time in a more personal and less professional way than they had during their working together on the company video game development.",8,5,5,5,4,4,5,4,3,3,5,5,5
runup,The homebuyers were on the runup to their first open house in a year and were both a little more and less than their realtor had let on about the house they had been in love with since the first day they had set their.,8,5,5,4,3,3,2,3,2,3,2,2,2
premium,The company that I work for is now including a free high-end sound system as a premium service for all of its top business plan customers who pay a certain amount each year for their internet service at home and at the office to get the best and.,8,4,5,4,3,3,4,4,2,4,4,5,4
premium,The company is now offering a new line of high-end water quality test equipment that is a cut above the basic level and is available for a small additional investment as a premium service to their most important business and government clients.,8,5,5,5,4,5,5,5,5,5,4,5,5
circus,The family had been to the big top for the past three afternoons in a row to see the high-wire walker and the three little people who could do backflips in a line of three while on the high board above the safety.,8,5,5,0,4,4,0,3,1,2,4,4,0
circus,The family of three left the big top in the early evening after the last show of the year had come to a end and the sound of the calliopes was still a little too much to process in the still air of the small country field.,8,4,4,0,4,3,0,4,1,2,4,3,0
put,She put the book on the top of the bookcase so it was out of her little brother's reach when he was being a little too curious about the library at home tonight before her family had to go to the store with her for a few.,8,5,5,5,4,4,3,4,1,4,3,3,4
put,She put the book on the top of the bookcase to keep it from being run over by the other more popular series that had been put there first by her little brother last week during a game of library showdown in the family reading nook.,8,5,4,5,5,4,4,4,0,3,4,2,4
calmly,"As the boat was being rocked by the large waves on the open waterway, the lifeboat was being used to help the people on board calmly while they were being put to safety by the coast guard on the other end of the line to the.",8,5,5,3,4,4,4,4,1,3,2,2,2
boyishly,"As he beamed with a boyishly endearing grin on his first day of work at the family business, his new boss was already a little too old to be so quickly and endearingly put at ease by the company's new and very.",8,5,5,3,4,4,3,4,1,4,3,3,3
feebly,The old light in the back of the store was still working feebly after the power had been out for several hours and the store had been in the process of being left for the day by the one person who was still there to turn off.,8,5,5,4,4,3,4,5,1,3,4,2,3
calorifacient,The new high school building was a test case for the use of a calorifacients in the form of a large hot water system to heat the various study and activity areas during the cold New England winters.,8,5,5,2,4,4,2,4,0,0,2,2,1
indolently,"As she lounged on the beach in her new home in the Caribbean, she indolently let the sound of the waves and the feel of the hot sand on her back guide her into a state of almost mindless relaxation.",8,5,5,4,4,4,4,5,4,4,5,5,5
dynamite,The old film about the World Series was so full of action that the dynamite was about to go off any second in the movie set of the home player who was about the make the big home run that would take the game to the next level.,8,4,3,1,3,3,2,5,3,2,3,2,2
provoking,The new policy was provoking a lot of heat from the community group that had been working with the local government for over a year to find a more community involved alternative to the new development plan that was being put into place without their full knowledge or.,16,4,3,3,3,3,3,4,2,3,3,2,2
hatch,As the bird carefree on the small boat in the still water of the old fish market in the early light of the day of the full new year of the world that was a time of great change and great risk and great potential for all who.,16,4,3,0,2,2,0,4,0,0,2,2,1
jesuit,The Jesuit order of the early Jesuit school in the Jesuit community was known for its focus on both the study of the natural world and the study and practice of the Jesit order of a more personal and individual nature of the human experience.,16,3,3,2,2,2,2,4,3,2,2,2,1
acquiescence,The company was able to move the new development to the old site after the local community board was able in part by the acquiescence of several key community group that had been against the plan from the start but were out of time to make a.,16,4,3,1,3,2,2,4,2,4,1,2,3
unscrupulously,The used book store was known to unscrupdusonly price its most popular out of business section of the store to the new business down the way for a lower price than it was actually available to its own long time and often more than.,16,4,3,3,3,2,3,4,1,2,2,1,1
ovulate,Her body was about to ovulate again and she would need to start a new period of the same natural family plan they had been following for a while now with her health care professional to determine the best time for a potential future family to start with.,16,4,3,2,3,3,2,4,1,1,1,1,2
mingle,At the company soiwee I had to mingle with the new boss to make a good first inmupgsoe and get a feel for the new work place and the people I would be working with for the next few yearS.,16,3,3,3,2,3,3,1,1,2,2,2,3
runup,The company had to make a runup to the new product line by training its call service to answer common product inactivity and order change in a way that would keep the new line from being overbookend by the old one in the first few.,16,3,3,2,3,2,2,3,1,2,0,0,1
premium,The company is now including a free software security service as a value add to its already high price point to make its product a true industry best and a true value for the small business market that is already used to a high level of quality and a.,16,3,3,0,3,2,0,4,2,0,3,2,0
premium,The new highend sound system was a real game change for music quality and was only available as a high price point in the company store to those who were part of the special service plan known as the music experience plan which was a part of their.,16,3,4,0,3,2,0,4,3,0,2,2,0
circus,As the big top was set up in the small field on the other end of the main building at the state school for the development of special physical and mental health care for underdevelops of the world with the help of a large group of people.,16,3,1,0,2,1,0,4,0,1,0,2,0
circus,As the big top was set up in the field just off Main and the sound of a calliup and a call to the calli up the call of the call was being set up the whole family was so very very very much in the.,16,1,1,0,1,0,0,2,0,0,1,2,0
put,She put the book on the top of the bookcase so it was out of her little one way from the play area where the building was being put together with the big fat building board and the fat little fat building piece that was being used as.,16,2,2,4,2,2,2,3,1,3,1,1,4
put,She put the book on the top of the bookcase so it was out of her little brother's way when he was building with the building set on the same level of the library that was still being put together by her other big family of a.,16,2,1,4,3,2,3,4,1,3,1,3,4
calmly,As the boat was being set a course through the open water of the small boat show on the still and very early day of the year after the big New Year Day dance on the coast of a small and very cold country in the far away part.,16,2,3,0,2,2,0,3,0,0,0,1,0
boyishly,As he carefree and full of life on the dance dance show set at the age of just three and a week short of his for first time in public with his big top show at the great show on the big top at the local state and.,16,1,2,0,1,1,0,4,1,0,0,0,0
feebly,The old light in the back of the house was still on feebly after the power had been out for several long and cold country afternoons in the small New Year week of the year the house had been left to the family after the.,16,1,1,2,1,1,2,3,1,3,2,1,4
calorifacient,The new line of high school science equipment was a calorifacit to the old hot water calorit that had been used for over a year to heat the behe and water for the class science equipment to be used in the new school building.,16,1,2,2,1,1,1,2,1,1,1,2,1
indolently,As she dozed on the hot afternoon in the garden of the old family home in the country of high heat and dry air where the only sound was the still and the only thing that was always in the way was the heat that was.,16,2,3,0,2,2,0,3,1,0,4,2,0
dynamite,The old movie set was about to be dynamite when the special safety equipment was put in place to allow the live action to be film without risk of a real on set set back to the future time period of the film itself in the year of.,16,1,1,1,1,1,1,3,1,1,0,0,1
provoking,"The movie's ending was quite provoking, causing a lot of discussion among the audience.",gemini,5,5,5,5,5,4,5,5,4,5,5,4
hatch,"The baby bird struggled to break free from its eggshell, finally pecking its way out of the hatch.",gemini,5,4,2,4,4,3,5,5,4,4,5,4
jesuit,He studied at a Jesuit school known for its rigorous academics and strong emphasis on service to others.,gemini,5,5,2,5,5,3,5,5,5,5,5,4
acquiescence,"After much debate, his quiet acquiescence to the plan signaled the end of the argument.",gemini,5,5,3,5,5,3,5,5,5,5,5,4
unscrupulously,The company unscrupulously used misleading information in its advertisement to increase sales.,gemini,5,5,3,5,5,4,5,5,5,5,5,4
ovulate,"She knew she needed to check her cycle to determine when she would ovulate, since she and her partner were trying to start a family.",gemini,5,5,3,5,5,3,5,5,5,5,5,4
mingle,"At the party, the guests mingled, chatting and laughing in small groups before gathering together for a group dance.",gemini,5,5,5,5,5,4,5,5,5,5,5,5
runup,The runup to the election was full of heated debates and political advertising.,gemini,5,5,5,5,5,5,5,5,5,5,5,4
premium,"The insurance company offered a premium for the car, reflecting its age and condition.",gemini,5,5,2,5,5,4,5,3,3,5,5,5
premium,"The insurance company offered a premium for the car, reflecting its age and condition.",gemini,5,5,2,5,5,4,5,3,3,5,5,4
circus,"The family went to the circus and saw a lot of clowns, animals, and amazing acts.",gemini,5,5,5,5,5,5,5,5,4,5,5,5
circus,"The family went to the circus and saw a lot of fun, including clowns, animals, and amazing people doing great things.",gemini,5,5,5,4,4,5,5,3,3,4,5,5
put,I need to put the book back on the shelf.,gemini,5,5,5,5,5,5,5,4,5,5,5,5
put,I need to put the book back on the shelf.,gemini,5,5,5,5,5,5,5,4,5,5,5,5
calmly,The police officer calmly asked the suspect to put his hands up.,gemini,5,5,2,5,5,2,5,3,2,5,5,3
boyishly,"He grinned boyishly, his eyes crinkling at the corners as he accepted the award.",gemini,5,5,2,4,5,2,5,5,5,5,5,3
feebly,"After the long run, she feebly reached for a glass of water.",gemini,5,5,2,5,5,4,5,5,4,5,5,3
calorifacient,"The new oven, a marvel of calorifacient engineering, quickly heated the pizza to a perfect temperature.",gemini,5,5,2,5,5,3,5,3,2,5,5,3
indolently,"After a long day of work, he indolently sprawled on the couch, watching television.",gemini,5,5,2,5,5,3,5,5,4,5,5,5
dynamite,The miners used dynamite to break up the large rocks blocking the tunnel.,gemini,5,5,2,5,5,4,5,5,3,5,5,3
